level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
2	1	7	0	0	0	755	249	301	43	-1	
3	1	7	1	0	0	755	249	301	43	-1	
4	1	7	1	1	0	755	249	301	43	-1	
5	1	7	1	1	1	755	252	19	31	92.167542	3
5	1	7	1	1	2	803	249	79	43	94.846771	they
5	1	7	1	1	3	897	249	84	33	96.894379	have
5	1	7	1	1	4	997	257	59	35	96.059372	got
2	1	8	0	0	0	1387	247	217	42	-1	
3	1	8	1	0	0	1387	247	217	42	-1	
4	1	8	1	1	0	1387	247	217	42	-1	
5	1	8	1	1	1	1387	249	19	31	87.060631	5
5	1	8	1	1	2	1434	248	26	32	87.060631	it
5	1	8	1	1	3	1474	247	55	33	96.316910	has
5	1	8	1	1	4	1544	255	60	34	96.894699	got
2	1	9	0	0	0	755	305	327	42	-1	
3	1	9	1	0	0	755	305	327	42	-1	
4	1	9	1	1	0	755	305	327	42	-1	
5	1	9	1	1	1	755	306	21	32	96.218407	4
5	1	9	1	1	2	803	305	57	32	96.689247	she
5	1	9	1	1	3	876	305	55	32	96.294983	has
5	1	9	1	1	4	946	312	62	25	96.176285	not
5	1	9	1	1	5	1022	313	60	34	96.176285	got
2	1	10	0	0	0	1387	302	311	42	-1	
3	1	10	1	0	0	1387	302	311	42	-1	
4	1	10	1	1	0	1387	302	311	42	-1	
5	1	10	1	1	1	1387	304	20	31	95.972031	6
5	1	10	1	1	2	1436	302	112	33	66.989296	Ihave
5	1	10	1	1	3	1564	310	61	24	95.923058	not
5	1	10	1	1	4	1640	310	58	34	96.049812	got
2	1	11	0	0	0	150	307	235	42	-1	
3	1	11	1	0	0	150	307	235	42	-1	
4	1	11	1	1	0	150	307	235	42	-1	
5	1	11	1	1	1	150	309	20	31	93.843681	2
5	1	11	1	1	2	198	307	42	33	93.843681	he
5	1	11	1	1	3	255	307	55	33	95.861397	has
5	1	11	1	1	4	326	315	59	34	96.791229	got
2	1	12	0	0	0	21	397	55	32	-1	
3	1	12	1	0	0	21	397	55	32	-1	
4	1	12	1	1	0	21	397	55	32	-1	
5	1	12	1	1	1	21	397	55	32	96.665588	9.2
2	1	13	0	0	0	159	374	857	56	-1	
3	1	13	1	0	0	159	374	857	56	-1	
4	1	13	1	1	0	159	374	857	56	-1	
5	1	13	1	1	1	159	391	18	39	38.910225	恨
5	1	13	1	1	2	215	390	14	40	92.843025	据
5	1	13	1	1	3	258	393	18	37	92.982109	下
5	1	13	1	1	4	301	390	49	40	93.173958	列
5	1	13	1	1	5	382	390	58	40	94.971275	问题
5	1	13	1	1	6	439	369	40	69	96.961304	和
5	1	13	1	1	7	478	389	86	41	93.264267	回答
5	1	13	1	1	8	573	369	44	69	91.888687	，
5	1	13	1	1	9	616	390	53	37	91.587471	写
5	1	13	1	1	10	693	388	19	41	96.123749	出
5	1	13	1	1	11	711	369	31	69	93.283928	有
5	1	13	1	1	12	741	390	28	37	92.134575	关
5	1	13	1	1	13	788	389	26	40	91.652390	马
5	1	13	1	1	14	836	387	26	41	84.494263	克
5	1	13	1	1	15	883	387	21	41	95.105904	的
5	1	13	1	1	16	931	374	85	54	12.916279	句子。
2	1	14	0	0	0	776	531	48	31	-1	
3	1	14	1	0	0	776	531	48	31	-1	
4	1	14	1	1	0	776	531	48	31	-1	
5	1	14	1	1	1	776	531	48	31	96.600998	ar?
2	1	15	0	0	0	926	531	59	31	-1	
3	1	15	1	0	0	926	531	59	31	-1	
4	1	15	1	1	0	926	531	59	31	-1	
5	1	15	1	1	1	926	531	59	31	96.903908	No
2	1	16	0	0	0	1151	492	56	53	-1	
3	1	16	1	0	0	1151	492	56	53	-1	
4	1	16	1	1	0	1151	492	56	53	-1	
5	1	16	1	1	1	1151	492	56	53	87.063057	BG
2	1	17	0	0	0	1320	529	14	31	-1	
3	1	17	1	0	0	1320	529	14	31	-1	
4	1	17	1	1	0	1320	529	14	31	-1	
5	1	17	1	1	1	1320	529	14	31	96.618248	1
2	1	18	0	0	0	1418	512	374	40	-1	
3	1	18	1	0	0	1418	512	374	40	-1	
4	1	18	1	1	0	1418	512	374	40	-1	
5	1	18	1	1	1	1418	515	44	29	96.073669	He
5	1	18	1	1	2	1480	512	114	33	65.525330	hasn't
5	1	18	1	1	3	1611	518	63	34	96.234200	got
5	1	18	1	1	4	1688	523	19	21	95.731003	a
5	1	18	1	1	5	1725	523	67	21	95.526329	car.
2	1	19	0	0	0	790	508	66	101	-1	
3	1	19	1	0	0	790	508	66	101	-1	
4	1	19	1	1	0	790	508	66	101	-1	
5	1	19	1	1	1	790	508	66	101	77.395744	>
2	1	20	0	0	0	924	586	67	31	-1	
3	1	20	1	0	0	924	586	67	31	-1	
4	1	20	1	1	0	924	586	67	31	-1	
5	1	20	1	1	1	924	586	67	31	94.756828	Yes
2	1	21	0	0	0	1318	585	104	31	-1	
3	1	21	1	0	0	1318	585	104	31	-1	
4	1	21	1	1	0	1318	585	104	31	-1	
5	1	21	1	1	1	1318	585	19	31	96.959953	2
5	1	21	1	1	2	1366	585	56	30	95.903038	He
2	1	22	0	0	0	330	586	495	44	-1	
3	1	22	1	0	0	330	586	495	44	-1	
4	1	22	1	1	0	330	586	495	44	-1	
5	1	22	1	1	1	330	589	95	31	96.064941	Have
5	1	22	1	1	2	439	599	71	31	96.064941	you
5	1	22	1	1	3	525	594	59	35	96.838272	got
5	1	22	1	1	4	598	598	17	21	96.464050	a
5	1	22	1	1	5	631	586	194	43	96.167465	computer?
2	1	23	0	0	0	440	641	385	44	-1	
3	1	23	1	0	0	440	641	385	44	-1	
4	1	23	1	1	0	440	641	385	44	-1	
5	1	23	1	1	1	440	644	96	30	96.513268	Have
5	1	23	1	1	2	549	653	71	32	96.260918	you
5	1	23	1	1	3	635	650	59	34	96.623276	got
5	1	23	1	1	4	708	653	18	20	96.303329	a
5	1	23	1	1	5	741	641	84	43	96.539642	dog?
2	1	24	0	0	0	926	642	60	31	-1	
3	1	24	1	0	0	926	642	60	31	-1	
4	1	24	1	1	0	926	642	60	31	-1	
5	1	24	1	1	1	926	642	60	31	96.866791	No
2	1	25	0	0	0	1122	646	81	31	-1	
3	1	25	1	0	0	1122	646	81	31	-1	
4	1	25	1	1	0	1122	646	81	31	-1	
5	1	25	1	1	1	1122	646	81	31	96.597969	Mark
2	1	26	0	0	0	1318	640	20	31	-1	
3	1	26	1	0	0	1318	640	20	31	-1	
4	1	26	1	1	0	1318	640	20	31	-1	
5	1	26	1	1	1	1318	640	20	31	96.743271	3
2	1	27	0	0	0	926	697	60	30	-1	
3	1	27	1	0	0	926	697	60	30	-1	
4	1	27	1	1	0	926	697	60	30	-1	
5	1	27	1	1	1	926	697	60	30	96.942978	No
2	1	28	0	0	0	1318	695	21	31	-1	
3	1	28	1	0	0	1318	695	21	31	-1	
4	1	28	1	1	0	1318	695	21	31	-1	
5	1	28	1	1	1	1318	695	21	31	96.725159	4
2	1	29	0	0	0	251	695	574	44	-1	
3	1	29	1	0	0	251	695	574	44	-1	
4	1	29	1	1	0	251	695	574	44	-1	
5	1	29	1	1	1	251	700	96	30	96.690994	Have
5	1	29	1	1	2	360	709	70	30	96.674477	you
5	1	29	1	1	3	446	705	58	34	96.765465	got
5	1	29	1	1	4	519	708	17	21	96.921112	a
5	1	29	1	1	5	550	696	128	33	96.891296	mobile
5	1	29	1	1	6	692	695	133	43	96.021271	phone?
2	1	30	0	0	0	398	749	427	45	-1	
3	1	30	1	0	0	398	749	427	45	-1	
4	1	30	1	1	0	398	749	427	45	-1	
5	1	30	1	1	1	398	753	97	31	96.674232	Have
5	1	30	1	1	2	509	763	70	31	96.557976	you
5	1	30	1	1	3	595	759	58	35	95.885483	got
5	1	30	1	1	4	668	762	17	21	95.778076	a
5	1	30	1	1	5	699	749	126	34	96.952438	watch?
2	1	31	0	0	0	926	751	67	31	-1	
3	1	31	1	0	0	926	751	67	31	-1	
4	1	31	1	1	0	926	751	67	31	-1	
5	1	31	1	1	1	926	751	67	31	96.450020	Yes
2	1	32	0	0	0	1319	749	19	32	-1	
3	1	32	1	0	0	1319	749	19	32	-1	
4	1	32	1	1	0	1319	749	19	32	-1	
5	1	32	1	1	1	1319	749	19	32	94.481178	5
2	1	33	0	0	0	276	805	552	44	-1	
3	1	33	1	0	0	276	805	552	44	-1	
4	1	33	1	1	0	276	805	552	44	-1	
5	1	33	1	1	1	276	809	95	31	96.491875	Have
5	1	33	1	1	2	385	819	70	30	96.491875	you
5	1	33	1	1	3	471	814	59	35	96.621140	got
5	1	33	1	1	4	544	818	64	31	95.660507	any
5	1	33	1	1	5	622	805	151	33	96.584694	brothers
5	1	33	1	1	6	789	817	39	21	96.768028	or
2	1	34	0	0	0	1319	805	20	30	-1	
3	1	34	1	0	0	1319	805	20	30	-1	
4	1	34	1	1	0	1319	805	20	30	-1	
5	1	34	1	1	1	1319	805	20	30	96.699120	6
2	1	35	0	0	0	707	851	153	75	-1	
3	1	35	1	0	0	707	851	153	75	-1	
4	1	35	1	1	0	707	851	153	75	-1	
5	1	35	1	1	1	707	851	115	75	91.031494	sisters?
5	1	35	1	1	2	840	851	20	75	67.608215	/
2	1	36	0	0	0	163	971	186	40	-1	
3	1	36	1	0	0	163	971	186	40	-1	
4	1	36	1	1	0	163	971	186	40	-1	
5	1	36	1	1	1	163	971	64	39	66.666130	根据
5	1	36	1	1	2	251	971	31	40	93.255974	你
5	1	36	1	1	3	299	973	20	37	92.343338	自
5	1	36	1	1	4	342	985	7	22	43.148865	t
2	1	37	0	0	0	343	973	13	2	-1	
3	1	37	1	0	0	343	973	13	2	-1	
4	1	37	1	1	0	343	973	13	2	-1	
5	1	37	1	1	1	343	973	13	2	43.978542	sa
2	1	38	0	0	0	349	981	79	29	-1	
3	1	38	1	0	0	349	981	79	29	-1	
4	1	38	1	1	0	349	981	79	29	-1	
5	1	38	1	1	1	349	999	20	9	46.397327	oy
5	1	38	1	1	2	383	981	45	29	70.213898	HY
5	1	38	1	1	3	420	977	11	43	42.594227	|
2	1	39	0	0	0	353	970	52	17	-1	
3	1	39	1	0	0	353	970	52	17	-1	
4	1	39	1	1	0	353	970	52	17	-1	
5	1	39	1	1	1	353	971	9	16	84.990234	I
5	1	39	1	1	2	388	970	17	15	64.041840	让
2	1	40	0	0	0	431	966	785	51	-1	
3	1	40	1	0	0	431	966	785	51	-1	
4	1	40	1	1	0	431	966	785	51	-1	
5	1	40	1	1	1	431	969	92	41	53.738819	情况
5	1	40	1	1	2	563	972	7	32	87.558388	，
5	1	40	1	1	3	572	970	20	38	92.851074	用
5	1	40	1	1	4	615	972	66	34	55.541939	Tve
5	1	40	1	1	5	700	974	66	43	95.980827	got
5	1	40	1	1	6	785	969	34	39	16.082754	2
5	1	40	1	1	7	840	971	6	34	69.662933	I
5	1	40	1	1	8	868	970	149	35	84.546547	haven't
5	1	40	1	1	9	1035	973	66	42	96.078186	got
5	1	40	1	1	10	1119	967	34	40	52.747299	22
5	1	40	1	1	11	1169	966	47	41	53.243248	47.
2	1	41	0	0	0	156	1046	281	42	-1	
3	1	41	1	0	0	156	1046	281	42	-1	
4	1	41	1	1	0	156	1046	281	42	-1	
5	1	41	1	1	1	156	1048	19	31	95.302055	7
5	1	41	1	1	2	205	1047	28	41	95.302055	(a
5	1	41	1	1	3	249	1046	188	42	96.371559	computer)
2	1	42	0	0	0	157	1101	170	43	-1	
3	1	42	1	0	0	157	1101	170	43	-1	
4	1	42	1	1	0	157	1101	170	43	-1	
5	1	42	1	1	1	157	1103	19	31	96.060265	8
5	1	42	1	1	2	205	1102	29	41	96.060265	(a
5	1	42	1	1	3	249	1101	78	43	95.762657	dog)
2	1	43	0	0	0	157	1156	180	43	-1	
3	1	43	1	0	0	157	1156	180	43	-1	
4	1	43	1	1	0	157	1156	180	43	-1	
5	1	43	1	1	1	157	1158	19	32	93.287003	9
5	1	43	1	1	2	205	1157	27	42	93.287003	(a
5	1	43	1	1	3	248	1156	89	43	95.712097	bike)
2	1	44	0	0	0	138	1211	367	43	-1	
3	1	44	1	0	0	138	1211	367	43	-1	
4	1	44	1	1	0	138	1211	367	43	-1	
5	1	44	1	1	1	138	1214	39	31	86.198753	10
5	1	44	1	1	2	206	1211	299	43	86.198753	(brothers/sisters)
2	1	45	0	0	0	26	1300	56	32	-1	
3	1	45	1	0	0	26	1300	56	32	-1	
4	1	45	1	1	0	26	1300	56	32	-1	
5	1	45	1	1	1	26	1300	56	32	96.659248	9.3
2	1	46	0	0	0	165	1290	1346	51	-1	
3	1	46	1	0	0	165	1290	1346	51	-1	
4	1	46	1	1	0	165	1290	1346	51	-1	
5	1	46	1	1	1	165	1297	26	36	95.119682	用
5	1	46	1	1	2	213	1300	66	41	95.296272	got
5	1	46	1	1	3	309	1297	84	35	96.589401	(I've
5	1	46	1	1	4	412	1294	91	47	54.449936	got
5	1	46	1	1	5	491	1286	15	60	54.449936	/
5	1	46	1	1	6	520	1297	91	33	95.812607	have
5	1	46	1	1	7	629	1306	69	34	96.158409	you
5	1	46	1	1	8	719	1297	66	43	90.850174	got
5	1	46	1	1	9	804	1291	55	41	76.031227	#)
5	1	46	1	1	10	895	1291	74	39	95.860863	改写
5	1	46	1	1	11	991	1291	89	40	76.906448	句子
5	1	46	1	1	12	1122	1291	7	38	92.241592	，
5	1	46	1	1	13	1131	1293	16	38	91.460655	保
5	1	46	1	1	14	1167	1290	26	40	91.354675	持
5	1	46	1	1	15	1214	1291	68	39	46.752106	句子
5	1	46	1	1	16	1301	1291	30	38	96.842751	的
5	1	46	1	1	17	1345	1291	78	39	52.814705	意思
5	1	46	1	1	18	1435	1292	31	35	27.998886	不
5	1	46	1	1	19	1480	1290	31	38	92.555695	变
2	1	47	0	0	0	921	1359	456	35	-1	
3	1	47	1	0	0	921	1359	456	35	-1	
4	1	47	1	1	0	921	1359	456	35	-1	
5	1	47	1	1	1	921	1359	129	35	66.828735	They've
5	1	47	1	1	2	1066	1359	311	34	77.119576	got.two.children.
2	1	48	0	0	0	204	1367	457	45	-1	
3	1	48	1	0	0	204	1367	457	45	-1	
4	1	48	1	1	0	204	1367	457	45	-1	
5	1	48	1	1	1	204	1369	97	43	96.055008	They
5	1	48	1	1	2	316	1369	83	32	96.055008	have
5	1	48	1	1	3	415	1376	70	25	96.581329	two
5	1	48	1	1	4	502	1367	159	34	96.370636	children.
2	1	49	0	0	0	205	1422	432	43	-1	
3	1	49	1	0	0	205	1422	432	43	-1	
4	1	49	1	1	0	205	1422	432	43	-1	
5	1	49	1	1	1	205	1424	65	33	96.956253	She
5	1	49	1	1	2	286	1424	131	32	96.351837	doesn’t
5	1	49	1	1	3	431	1423	84	33	96.351837	have
5	1	49	1	1	4	531	1435	16	20	96.928505	a
5	1	49	1	1	5	562	1422	75	43	95.770477	key.
2	1	50	0	0	0	922	1413	395	35	-1	
3	1	50	1	0	0	922	1413	395	35	-1	
4	1	50	1	1	0	922	1413	395	35	-1	
5	1	50	1	1	1	922	1415	69	31	96.109322	She
5	1	50	1	1	2	1007	1413	117	32	10.948114	hasn't
5	1	50	1	1	3	1138	1419	97	29	85.932533	got.a
5	1	50	1	1	4	1254	1413	63	34	94.676720	key.
2	1	51	0	0	0	205	1478	333	43	-1	
3	1	51	1	0	0	205	1478	333	43	-1	
4	1	51	1	1	0	205	1478	333	43	-1	
5	1	51	1	1	1	205	1480	55	31	96.644234	He
5	1	51	1	1	2	276	1478	54	33	96.421455	has
5	1	51	1	1	3	345	1490	17	21	95.130341	a
5	1	51	1	1	4	377	1490	78	21	96.885078	new
5	1	51	1	1	5	464	1478	74	43	96.619118	job.
2	1	52	0	0	0	205	1532	579	45	-1	
3	1	52	1	0	0	205	1532	579	45	-1	
4	1	52	1	1	0	205	1532	579	45	-1	
5	1	52	1	1	1	205	1534	98	43	96.420555	They
5	1	52	1	1	2	317	1533	97	33	96.701912	don’t
5	1	52	1	1	3	428	1533	84	33	96.754433	have
5	1	52	1	1	4	528	1532	104	33	96.357071	much
5	1	52	1	1	5	647	1544	137	31	95.933640	money.
2	1	53	0	0	0	205	1587	490	45	-1	
3	1	53	1	0	0	205	1587	490	45	-1	
4	1	53	1	1	0	205	1587	490	45	-1	
5	1	53	1	1	1	205	1591	58	31	96.662880	Do
5	1	53	1	1	2	277	1601	70	31	96.575981	you
5	1	53	1	1	3	362	1589	84	33	96.575981	have
5	1	53	1	1	4	462	1601	42	20	96.048378	an
5	1	53	1	1	5	518	1587	177	34	96.587250	umbrella?
2	1	54	0	0	0	205	1642	544	36	-1	
3	1	54	1	0	0	205	1642	544	36	-1	
4	1	54	1	1	0	205	1642	544	36	-1	
5	1	54	1	1	1	205	1647	66	31	96.453842	We
5	1	54	1	1	2	286	1645	84	32	95.193352	have
5	1	54	1	1	3	377	1638	16	48	96.164253	a
5	1	54	1	1	4	416	1644	49	33	96.344353	lot
5	1	54	1	1	5	480	1643	42	33	96.643486	of
5	1	54	1	1	6	529	1643	98	33	95.892937	work
5	1	54	1	1	7	642	1652	35	24	96.665909	to
5	1	54	1	1	8	693	1642	56	33	96.425697	do.
2	1	55	0	0	0	207	1697	623	45	-1	
3	1	55	1	0	0	207	1697	623	45	-1	
4	1	55	1	1	0	207	1697	623	45	-1	
5	1	55	1	1	1	207	1702	12	31	96.613243	I
5	1	55	1	1	2	235	1700	97	33	96.539772	don’t
5	1	55	1	1	3	346	1699	84	33	96.862915	have
5	1	55	1	1	4	444	1711	87	31	96.921799	your
5	1	55	1	1	5	544	1698	116	44	96.093132	phone
5	1	55	1	1	6	676	1697	154	33	96.803780	number.
2	1	56	0	0	0	1048	1724	22	3	-1	
3	1	56	1	0	0	1048	1724	22	3	-1	
4	1	56	1	1	0	1048	1724	22	3	-1	
5	1	56	1	1	1	1048	1724	22	3	22.471666	ete
2	1	57	0	0	0	908	1780	15	3	-1	
3	1	57	1	0	0	908	1780	15	3	-1	
4	1	57	1	1	0	908	1780	15	3	-1	
5	1	57	1	1	1	908	1780	15	3	50.356728	on
2	1	58	0	0	0	207	1754	525	44	-1	
3	1	58	1	0	0	207	1754	525	44	-1	
4	1	58	1	1	0	207	1754	525	44	-1	
5	1	58	1	1	1	207	1757	92	31	96.733337	Does
5	1	58	1	1	2	313	1767	87	31	96.733337	your
5	1	58	1	1	3	414	1754	105	33	96.862694	father
5	1	58	1	1	4	532	1754	84	33	96.974800	have
5	1	58	1	1	5	632	1766	17	20	96.633675	a
5	1	58	1	1	6	664	1754	68	32	96.633675	car?
2	1	59	0	0	0	208	1808	600	44	-1	
3	1	59	1	0	0	208	1808	600	44	-1	
4	1	59	1	1	0	208	1808	600	44	-1	
5	1	59	1	1	1	208	1813	93	30	96.923988	How
5	1	59	1	1	2	317	1810	103	33	96.301163	much
5	1	59	1	1	3	435	1821	128	31	95.839722	money
5	1	59	1	1	4	578	1809	45	33	96.475777	do
5	1	59	1	1	5	638	1821	53	20	96.658501	we
5	1	59	1	1	6	707	1808	101	33	96.760750	have?
2	1	60	0	0	0	29	1899	59	31	-1	
3	1	60	1	0	0	29	1899	59	31	-1	
4	1	60	1	1	0	29	1899	59	31	-1	
5	1	60	1	1	1	29	1899	59	31	93.969749	9.4
2	1	61	0	0	0	163	1891	1426	48	-1	
3	1	61	1	0	0	163	1889	1426	50	-1	
4	1	61	1	1	0	163	1891	1426	48	-1	
5	1	61	1	1	1	163	1892	35	40	92.362984	填
5	1	61	1	1	2	214	1895	29	33	92.455315	入
5	1	61	1	1	3	262	1896	92	34	95.737183	have
5	1	61	1	1	4	372	1898	67	41	95.737183	got
5	1	61	1	1	5	469	1892	71	38	87.106110	(‘ve
5	1	61	1	1	6	558	1895	103	44	95.321671	got),
5	1	61	1	1	7	696	1894	65	33	96.841064	has
5	1	61	1	1	8	779	1895	66	43	93.285652	got
5	1	61	1	1	9	876	1893	45	35	43.732582	(‘s
5	1	61	1	1	10	938	1893	103	44	95.429619	got),
5	1	61	1	1	11	1077	1892	149	34	95.990692	haven't
5	1	61	1	1	12	1244	1894	66	41	92.377052	got
5	1	61	1	1	13	1334	1889	29	38	73.728691	*
5	1	61	1	1	14	1383	1891	122	33	77.371437	hasn't
5	1	61	1	1	15	1523	1892	66	42	96.993477	got
2	1	62	0	0	0	163	1960	1180	48	-1	
3	1	62	1	0	0	163	1960	1180	48	-1	
4	1	62	1	1	0	163	1960	1180	48	-1	
5	1	62	1	1	1	163	1970	14	31	95.819038	1
5	1	62	1	1	2	209	1968	97	33	91.392159	Sarah
5	1	62	1	1	3	321	1960	290	41	0.000000	......149!0.40.....
5	1	62	1	1	4	637	1979	7	20	96.536362	a
5	1	62	1	1	5	660	1978	61	21	92.887192	car.
5	1	62	1	1	6	739	1966	65	33	96.458275	She
5	1	62	1	1	7	821	1977	79	31	96.272362	goes
5	1	62	1	1	8	916	1965	215	43	96.339676	everywhere
5	1	62	1	1	9	1146	1964	45	43	96.993492	by
5	1	62	1	1	10	1204	1963	139	43	95.690750	bicycle.
2	1	63	0	0	0	688	2048	198	4	-1	
3	1	63	1	0	0	688	2048	198	4	-1	
4	1	63	1	1	0	688	2048	198	4	-1	
5	1	63	1	1	1	688	2048	198	4	0.000000	ee
2	1	64	0	0	0	719	2014	123	40	-1	
3	1	64	1	0	0	719	2014	123	40	-1	
4	1	64	1	1	0	719	2014	123	40	-1	
5	1	64	1	1	1	719	2014	44	31	63.567345	Ve
5	1	64	1	1	2	778	2018	64	36	63.567345	.get
2	1	65	0	0	0	902	2019	446	43	-1	
3	1	65	1	0	0	902	2019	446	43	-1	
4	1	65	1	1	0	902	2019	446	43	-1	
5	1	65	1	1	1	902	2020	92	33	84.163033	three
5	1	65	1	1	2	1010	2020	82	42	93.075760	dogs
5	1	65	1	1	3	1108	2019	65	33	92.817543	and
5	1	65	1	1	4	1187	2027	71	24	85.510338	two
5	1	65	1	1	5	1274	2027	74	25	86.573532	cats.
2	1	66	0	0	0	161	2022	512	44	-1	
3	1	66	1	0	0	161	2022	512	44	-1	
4	1	66	1	1	0	161	2022	512	44	-1	
5	1	66	1	1	1	161	2025	19	30	95.189705	2
5	1	66	1	1	2	208	2023	98	43	95.189705	They
5	1	66	1	1	3	319	2022	66	33	96.368805	like
5	1	66	1	1	4	401	2022	144	33	96.057564	animals.
5	1	66	1	1	5	575	2022	98	42	96.187599	They
2	1	67	0	0	0	161	2077	495	43	-1	
3	1	67	1	0	0	161	2077	495	43	-1	
4	1	67	1	1	0	161	2077	495	43	-1	
5	1	67	1	1	1	161	2080	19	31	93.309959	3
5	1	67	1	1	2	209	2078	136	33	91.162392	Charles
5	1	67	1	1	3	360	2077	76	34	96.462471	isn’t
5	1	67	1	1	4	449	2077	121	43	95.017296	happy.
5	1	67	1	1	5	601	2078	55	31	95.825836	He
2	1	68	0	0	0	1113	2073	323	44	-1	
3	1	68	1	0	0	1113	2073	323	44	-1	
4	1	68	1	1	0	1113	2073	323	44	-1	
5	1	68	1	1	1	1113	2087	17	20	94.615921	a
5	1	68	1	1	2	1143	2074	50	33	94.615921	lot
5	1	68	1	1	3	1208	2073	42	34	97.007065	of
5	1	68	1	1	4	1257	2073	179	44	96.484222	problems.
2	1	69	0	0	0	161	2131	606	45	-1	
3	1	69	1	0	0	161	2131	606	45	-1	
4	1	69	1	1	0	161	2131	606	45	-1	
5	1	69	1	1	1	161	2136	21	31	96.457283	4
5	1	69	1	1	2	209	2133	97	43	96.710846	They
5	1	69	1	1	3	321	2133	96	33	95.533424	don’t
5	1	69	1	1	4	432	2132	77	33	95.987396	read
5	1	69	1	1	5	523	2131	115	34	96.622665	much.
5	1	69	1	1	6	668	2131	99	43	96.231544	They
2	1	70	0	0	0	1221	2128	235	44	-1	
3	1	70	1	0	0	1221	2128	235	44	-1	
4	1	70	1	1	0	1221	2128	235	44	-1	
5	1	70	1	1	1	1221	2141	102	31	96.657860	many
5	1	70	1	1	2	1337	2128	119	34	96.746429	books.
2	1	71	0	0	0	587	2188	22	32	-1	
3	1	71	1	0	0	587	2188	22	32	-1	
4	1	71	1	1	0	587	2188	22	32	-1	
5	1	71	1	1	1	587	2188	22	32	51.620884	‘J
2	1	72	0	0	0	162	2188	349	43	-1	
3	1	72	1	0	0	162	2188	349	43	-1	
4	1	72	1	1	0	162	2188	349	43	-1	
5	1	72	1	1	1	162	2191	19	31	73.870270	5
5	1	72	1	1	2	211	2189	138	33	77.308472	‘What’s
5	1	72	1	1	3	363	2188	148	43	91.264885	wrong?’
2	1	73	0	0	0	1067	2184	414	44	-1	
3	1	73	1	0	0	1067	2184	414	44	-1	
4	1	73	1	1	0	1067	2184	414	44	-1	
5	1	73	1	1	1	1067	2185	194	43	96.381012	something
5	1	73	1	1	2	1275	2186	34	31	96.703804	in
5	1	73	1	1	3	1324	2196	58	31	96.873100	my
5	1	73	1	1	4	1398	2184	83	43	94.677094	eye.’
2	1	74	0	0	0	162	2243	393	43	-1	
3	1	74	1	0	0	162	2243	393	43	-1	
4	1	74	1	1	0	162	2243	393	43	-1	
5	1	74	1	1	1	162	2246	20	31	93.064400	6
5	1	74	1	1	2	211	2244	163	33	89.296410	‘Where’s
5	1	74	1	1	3	388	2255	59	31	96.481842	my
5	1	74	1	1	4	461	2243	94	43	93.002151	pen?’
2	1	75	0	0	0	631	2201	310	83	-1	
3	1	75	1	0	0	631	2201	310	83	-1	
4	1	75	1	1	0	631	2201	310	83	-1	
5	1	75	1	1	1	631	2243	24	31	60.200180	‘I
5	1	75	1	1	2	671	2242	98	33	95.825485	don’t
5	1	75	1	1	3	779	2201	120	83	91.986107	know.
5	1	75	1	1	4	930	2243	11	30	96.794174	I
